Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C19, C26, C36, C37, C38, C5",0402,7,10u,C15525
"C10, C6, C7, C9",0402,4,4.7u,C23733
"C11, C12, C13, C14, C15, C16, C17, C18, C2, C27, C32, C33, C34, C39, C8",0402,15,100n,C1525
"C20, C21, C22, C23, C25, C35",0402,6,1u,C52923
"C24, C28, C29",0402,3,2.2u,C12530
"C3, C4",0402,2,15p,C1548
"C30, C31",0402,2,2.2n,C915853
"CN1, CN2, CN3",AUDIO-SMD_PJ-342,3,PJ-342,C668606
IC1,QFN50P300X300X65-17N,1,PAM8908JER,C33233
J4,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,1,SM03B-SRSS-TB,C160403
L1,L_pol_2016,1,3.3u,C42411119
"Q1, Q3",SOT-23,2,SS8050,C2150
"R10, R12, R13, R2, R24, R25, R27, R33, R36, R4, R6, R9",0402,12,1k,C11702
"R11, R3",0402,2,5.1k,C25905
"R14, R17",0402,2,0,C17168
"R18, R26, R28, R30, R32, R37",0402,6,10k,C25744
"R19, R20, R21",0402,3,56R,C137957
"R22, R23",0402,2,470R,C25117
R5,0402,1,33,C25105
"R7, R8",0402,2,27,C138021
"RV1, RV10, RV11, RV12, RV13, RV14, RV15, RV16, RV2, RV3, RV4, RV5, RV6, RV7, RV8, RV9",potentiometer,16,10k,C470449
"SW2, SW3",SW-SMD_4P-L6.0-W6.0-P4.50-LS9.2,2,TS-1095PS-A165B2-C3D2,C3010220
U1,RP2350-QFN-60-1EP_7x7_P0.4mm_EP3.4x3.4mm_ThermalVias,1,RP2350_60QFN,C42411118
U2,SOT-223-3_TabPin2,1,NCP1117-3.3_SOT223,C26537
U3,SOIC_208MIL_WIN,1,W25Q128JVS,C97521
U4,SSOP-24_5.3x8.2mm_P0.65mm,1,CD74HC4067SM,C98457
U5,TSSOP-20_4.4x6.5mm_P0.65mm,1,PCM5100A,C131154
USB1,USB-C-SMD_TYPE-C16PIN,1,TYPE-C16PIN,C393939
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,ABM8-272-T3,C20625731
